postalcode,FIPS,date,time,Total Stations,Has Fuel:Has Power,Has Fuel:No Power,No Fuel:Has Power,No Power:No Fuel,PercentageOperational,raw_visit_counts
7030,22057,10/2/21,14:12,1,1,0,0,0,100,185
7030,22109,10/2/21,14:12,1,1,0,0,0,100,131
7030,22057,10/2/21,22:12,1,1,0,0,0,100,185
7030,22109,10/2/21,22:12,1,1,0,0,0,100,131
7030,22057,10/3/21,6:12,1,1,0,0,0,100,185
7030,22109,10/3/21,6:12,1,1,0,0,0,100,131
7030,22057,10/3/21,14:12,1,1,0,0,0,100,185
7030,22109,10/3/21,14:12,1,1,0,0,0,100,131
7030,22057,10/3/21,22:12,1,1,0,0,0,100,185
7030,22109,10/3/21,22:12,1,1,0,0,0,100,131
7030,22057,10/4/21,6:12,1,1,0,0,0,100,185
7030,22109,10/4/21,6:12,1,1,0,0,0,100,131
7030,22057,10/4/21,14:12,1,1,0,0,0,100,185
7030,22109,10/4/21,14:12,1,1,0,0,0,100,131
7030,22057,10/4/21,22:12,1,1,0,0,0,100,185
7030,22109,10/4/21,22:12,1,1,0,0,0,100,131
7030,22057,10/5/21,6:12,1,1,0,0,0,100,185
7030,22109,10/5/21,6:12,1,1,0,0,0,100,131
7030,22057,10/5/21,14:12,1,1,0,0,0,100,185
7030,22109,10/5/21,14:12,1,1,0,0,0,100,131
7030,22057,10/5/21,22:12,1,1,0,0,0,100,185
7030,22109,10/5/21,22:12,1,1,0,0,0,100,131
7030,22057,10/6/21,6:12,1,1,0,0,0,100,185
7030,22109,10/6/21,6:12,1,1,0,0,0,100,131
7030,22057,10/6/21,14:12,1,1,0,0,0,100,185
7030,22109,10/6/21,14:12,1,1,0,0,0,100,131
70001,22051,8/27/21,22:13,19,19,0,0,0,100,1337
70001,22051,8/28/21,6:12,19,15,0,4,0,78.95,1337
70001,22051,8/28/21,14:12,19,15,0,4,0,78.95,1337
70001,22051,8/28/21,22:12,19,14,0,5,0,73.68,1337
70001,22051,8/29/21,6:12,19,14,0,5,0,73.68,1337
70001,22051,8/29/21,14:12,19,14,0,5,0,73.68,1337
70001,22051,8/29/21,22:12,19,13,0,6,0,68.42,1337
70001,22051,8/30/21,6:12,19,13,0,6,0,68.42,1337
70001,22051,8/30/21,14:12,19,13,0,6,0,68.42,1337
70001,22051,8/30/21,22:13,19,13,0,5,1,68.42,1337
70001,22051,8/31/21,6:12,19,13,0,5,1,68.42,1337
70001,22051,8/31/21,14:12,19,12,1,5,1,63.16,1337
70001,22051,8/31/21,22:12,19,2,1,4,12,10.53,1337
70001,22051,9/1/21,6:12,19,1,2,4,12,5.26,1337
70001,22051,9/1/21,14:12,19,2,1,1,15,10.53,1337
70001,22051,9/1/21,22:12,19,3,2,0,14,15.79,1337
70001,22051,9/2/21,6:12,19,2,2,1,14,10.53,1337
70001,22051,9/2/21,14:12,19,3,1,1,14,15.79,1337
70001,22051,9/2/21,22:12,19,4,1,1,13,21.05,1337
70001,22051,9/3/21,6:12,19,4,1,1,13,21.05,1337
70001,22051,9/3/21,14:12,19,5,0,1,13,26.32,1337
70001,22051,9/3/21,22:12,19,3,1,2,13,15.79,1337
70001,22051,9/4/21,6:12,19,3,0,3,13,15.79,1337
70001,22051,9/4/21,14:12,19,3,1,2,13,15.79,1337
70001,22051,9/4/21,22:12,19,3,2,1,13,15.79,1337
70001,22051,9/5/21,6:12,19,5,2,2,10,26.32,1337
70001,22051,9/5/21,14:12,19,6,2,1,10,31.58,1337
70001,22051,9/5/21,22:12,19,5,3,1,10,26.32,1337
70001,22051,9/6/21,6:12,19,5,3,1,10,26.32,1337
70001,22051,9/6/21,14:12,19,6,3,1,9,31.58,1337
70001,22051,9/6/21,22:12,19,6,3,1,9,31.58,1337
70001,22051,9/7/21,6:12,19,7,2,1,9,36.84,1337
70001,22051,9/7/21,14:12,19,7,2,1,9,36.84,1337
70001,22051,9/7/21,22:12,19,7,2,1,9,36.84,1337
70001,22051,9/8/21,6:12,19,7,1,2,9,36.84,1337
70001,22051,9/8/21,14:12,19,7,1,2,9,36.84,1337
70001,22051,9/8/21,22:12,19,10,1,1,7,52.63,1337
70001,22051,9/9/21,6:12,19,9,1,2,7,47.37,1337
70001,22051,9/9/21,14:12,19,9,1,2,7,47.37,1337
70001,22051,9/9/21,22:12,19,10,0,2,7,52.63,1337
70001,22051,9/10/21,6:12,19,10,0,2,7,52.63,1337
70001,22051,9/10/21,14:12,19,11,0,1,7,57.89,1337
70001,22051,9/10/21,22:12,19,11,0,1,7,57.89,1337
70001,22051,9/11/21,6:12,19,11,0,1,7,57.89,1337
70001,22051,9/11/21,14:12,19,11,0,1,7,57.89,1337
70001,22051,9/11/21,22:12,19,11,0,1,7,57.89,1337
70001,22051,9/12/21,6:12,19,11,0,1,7,57.89,1337
70001,22051,9/12/21,14:12,19,11,0,1,7,57.89,1337
70001,22051,9/12/21,22:12,19,11,0,1,7,57.89,1337
70001,22051,9/13/21,6:12,19,11,0,1,7,57.89,1337
70001,22051,9/13/21,14:12,19,11,0,1,7,57.89,1337
70001,22051,9/13/21,22:12,19,12,0,1,6,63.16,1337
70001,22051,9/14/21,6:12,19,12,0,1,6,63.16,1337
70001,22051,9/14/21,14:12,19,12,0,1,6,63.16,1337
70001,22051,9/14/21,22:12,19,12,0,1,6,63.16,1337
70001,22051,9/15/21,6:12,19,12,0,1,6,63.16,1337
70001,22051,9/15/21,14:12,19,12,0,1,6,63.16,1337
70001,22051,9/15/21,22:12,19,12,0,1,6,63.16,1337
70001,22051,9/16/21,6:12,19,11,0,2,6,57.89,1337
70001,22051,9/16/21,14:12,19,9,0,2,8,47.37,1337
70001,22051,9/16/21,22:12,19,11,0,1,7,57.89,1337
70001,22051,9/17/21,6:12,19,11,0,1,7,57.89,1337
70001,22051,9/17/21,14:12,19,13,0,0,6,68.42,1337
70001,22051,9/17/21,22:12,19,14,0,0,5,73.68,1337
70001,22051,9/18/21,6:12,19,15,0,0,4,78.95,1337
70001,22051,9/18/21,14:12,19,14,0,1,4,73.68,1337
70001,22051,9/18/21,22:12,19,14,0,1,4,73.68,1337
70001,22051,9/19/21,6:12,19,14,0,1,4,73.68,1337
70001,22051,9/19/21,14:12,19,15,0,0,4,78.95,1337
70001,22051,9/19/21,22:12,19,15,0,0,4,78.95,1337
70001,22051,9/20/21,6:12,19,15,0,0,4,78.95,1337
70001,22051,9/20/21,14:12,19,15,0,0,4,78.95,1337
70001,22051,9/20/21,22:13,19,15,0,0,4,78.95,1337
70001,22051,9/21/21,6:12,19,15,0,0,4,78.95,1337
70001,22051,9/21/21,14:23,19,18,0,0,1,94.74,1337
70001,22051,9/21/21,22:12,19,17,0,0,2,89.47,1337
70001,22051,9/22/21,6:12,19,17,0,0,2,89.47,1337
70001,22051,9/22/21,14:12,19,17,0,0,2,89.47,1337
70001,22051,9/22/21,22:12,19,17,0,0,2,89.47,1337
70001,22051,9/23/21,6:13,19,18,0,0,1,94.74,1337
70001,22051,9/23/21,14:12,19,18,0,0,1,94.74,1337
70001,22051,9/23/21,22:12,19,17,0,0,2,89.47,1337
70001,22051,9/24/21,6:13,19,17,0,0,2,89.47,1337
70001,22051,9/24/21,14:12,19,17,0,0,2,89.47,1337
70001,22051,9/24/21,22:12,19,17,0,0,2,89.47,1337
70001,22051,9/25/21,6:12,19,16,0,1,2,84.21,1337
70001,22051,9/25/21,14:12,19,16,0,1,2,84.21,1337
70001,22051,9/25/21,22:12,19,17,0,0,2,89.47,1337
70001,22051,9/26/21,6:12,19,17,0,0,2,89.47,1337
70001,22051,9/26/21,14:12,19,17,0,0,2,89.47,1337
70001,22051,9/26/21,22:12,19,17,0,0,2,89.47,1337
70001,22051,9/27/21,6:12,19,17,0,0,2,89.47,1337
70001,22051,9/27/21,14:12,19,17,0,0,2,89.47,1337
70001,22051,9/27/21,22:12,19,18,0,0,1,94.74,1337
70001,22051,9/28/21,6:12,19,18,0,0,1,94.74,1337
70001,22051,9/28/21,14:12,19,18,0,0,1,94.74,1337
70001,22051,9/28/21,22:12,19,18,0,0,1,94.74,1337
70001,22051,9/29/21,6:12,19,18,0,0,1,94.74,1337
70001,22051,9/29/21,14:12,19,18,0,0,1,94.74,1337
70001,22051,9/29/21,22:12,19,18,0,0,1,94.74,1337
70001,22051,9/30/21,6:12,19,18,0,0,1,94.74,1337
70001,22051,9/30/21,14:12,19,17,0,1,1,89.47,1337
70001,22051,9/30/21,22:13,19,18,0,0,1,94.74,1337
70001,22051,10/1/21,6:12,19,18,0,0,1,94.74,1337
